split,condition_split,future_trajectory_mse,final_state_error,utility_rank_correlation,selected_tail_calibration_error,sample_diversity,negative_log_proxy,denoising_loss_proxy,ensemble_size,heldout_conditions,ensemble_disagreement_mean
train,train,0.15577799081802368,0.7266021966934204,,,0.061175741255283356,-1.8593170017625467,0.15577799081802368,3,0,
validation,validation,0.148321732878685,0.7390146255493164,,,0.0587628036737442,-1.9083647517768634,0.148321732878685,3,0,
test,test,0.15853819251060486,0.7565119862556458,,,0.05715923383831978,-1.8417534448710429,0.15853819251060486,3,0,
heldout_selection,heldout_by_seed_condition,,,-0.4074477556628908,1.2978332081064679,0.1360073788712422,,,3,48,0.060207877275388455
