N,scorer,selected_score_mean,selected_imagined_score_mean,selected_real_utility_mean,oracle_real_utility_mean,generated_future_diversity,upper_tail_rank_correlation,imagined_real_tail_gap,oracle_gap,exact_law_prediction_error,high_n_regret,deployment_gate,gate_reason,seed,experiment,generator,denoising_steps
1,raw,-0.10613517467087756,-0.10613517467087756,-0.08760244836836743,-0.08760244836836743,0.0,0.0,-0.018532726302510127,0.0,0.5167691093192085,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
2,raw,0.25877634063363075,0.25877634063363075,0.24514152854681015,0.2462624857823054,0.8727925166487692,0.0,0.013634812086820602,0.0011209572354952402,0.410756639205714,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
4,raw,0.5130669257293144,0.5130669257293144,0.49055761098861694,0.49715666969617206,0.7277096327394247,0.0,0.022509314740697544,0.006599058707555117,0.2367067820435654,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
8,raw,0.7740639001131058,0.7740639001131058,0.745461684341232,0.7531320831427971,0.725412296007077,0.7499999999999999,0.024831197534998257,0.00767039880156517,0.14269883017134993,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
16,raw,0.9303920175880194,0.9303920175880194,0.9002525738130013,0.9105312656611204,0.7062100484967232,0.7749999999999999,0.019778122504552204,0.010278691848119137,0.07444232574636404,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
32,raw,0.9930992312729359,0.9930992312729359,0.9385606160697838,0.9549766913987696,0.7073271455864111,0.7490079365079366,0.021423120769516874,0.016416075328985813,0.056815502215503966,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
64,raw,1.0393719306836526,1.0393719306836526,0.9629057923642298,0.9954514508135617,0.7109680285056431,0.7383578431372548,0.014179054445776273,0.03254565844933188,0.030782763338810092,0.0,allow_high_n,utility_improves_with_confidence,0,controlled,good,8
1,raw,-0.20526444663604101,-0.20526444663604101,-0.22105125027398267,-0.22105125027398267,0.0,0.0,0.015786803637941677,0.0,0.5465871891422012,0.0,allow_high_n,utility_improves_with_confidence,1,controlled,good,8
2,raw,0.20349376214047274,0.20349376214047274,0.19794154788057008,0.19794154788057008,0.6643980663580198,0.0,0.0055522142599026365,0.0,0.42526051682656646,0.0,allow_high_n,utility_improves_with_confidence,1,controlled,good,8
4,raw,0.5844905797081689,0.5844905797081689,0.5803958317264915,0.5876695107047757,0.6188773417224486,0.0,0.004094747981677453,0.007273678978284237,0.2887012928907855,0.0,allow_high_n,utility_improves_with_confidence,1,controlled,good,8
