root,suffix,files,bytes
docs,.md,6,14862
figures,.pdf,6,87123
figures,.png,9,657977
paper_iclr,.aux,1,20161
paper_iclr,.bbl,1,6365
paper_iclr,.bib,1,5344
paper_iclr,.blg,1,1059
paper_iclr,.bst,1,26972
paper_iclr,.log,1,30774
paper_iclr,.out,1,7195
paper_iclr,.pdf,1,994980
paper_iclr,.sty,3,74688
paper_iclr,.tex,3,90317
results,.csv,11,164659
results,.json,3,7176
results,.md,1,3360
results,.pt,4,162204
src,.py,10,96797
tests,.py,6,12447
