root,suffix,files,bytes
docs,.md,7,17705
figures,.pdf,8,118192
figures,.png,9,657977
paper_iclr,.aux,1,21685
paper_iclr,.bbl,1,6991
paper_iclr,.bib,1,5852
paper_iclr,.blg,1,1060
paper_iclr,.bst,1,26972
paper_iclr,.log,1,31366
paper_iclr,.out,1,7195
paper_iclr,.pdf,1,1031389
paper_iclr,.sty,3,74688
paper_iclr,.tex,3,95398
results,.csv,11,164659
results,.json,3,7669
results,.md,1,3770
results,.pt,4,162204
src,.py,10,97666
tests,.py,6,12447
